,0
367,"

Secondly, because of the social network media, people rarely find opportunity to have meeting up face to face and online communication tools have become to the preferable device for connection, undoubtfully loneliness can be a significant implication of this decision and make feeling isolated from the society."
368," 

In conclusion, although technology have had an undeniable effect on speed up the communication, it is not a reasonable factor to this subject and would not effectively help to improve social communications

Recently, some research has indicated that working as a team can cause to improve the efficiency and intelligence, I want to discuss about that by some convincing evidence."
369," 

Firstly, in general working in a group causes to benefits variety range of talent and increasing the performance, in addition, the members as a group are able to resolve their problem with consolation and find their mistake."
370," for example, group of people who are gathering to resolve the question, can easer find resolve in comparison with in isolation."
371,"

Secondly, working as a team is induced a sense of belonging among the members and causes to increase their motivation, in addition any part of group can discuss their ideas as an individual and participated effectively."
372,"

In conclusion, I undoubtedly agree working as group can improve intellectual skills however, it needs to more practical research to prove."
373,"



  Nowadays it is possible to carry a gun legally in some countries, it has become the controversial component in the world."
374," carrying weapons without enough research, would be hazardous to societies and leads to criminal happening."
375, In this essay I will clarify how it will be harmful and damage on people.
376,"

Firstly, it would be causes to make fear among the household especially due to use guns by some immature people who need to more control and maybe in violent situation make emotionally decision, for example, about 2 years ago, in Florida state, two young brothers killed several their classmate without any prevention and limitation by police or security people."
377,"

Secondly, lack of proper qualifications for gun ownership leads to gun access to the wrong persons and due to increased stealing and other criminal types, for instance in Florida amount of shoplifting had intensively grown in comparison to last years."
378,"

In conclusion, there are several evidence that having a gun in household should be harmful, so it is needs to impose more limitations and qualifications for carrying a gun and increasing safe environments."
379,"

  



Nowadays, computers are played inseparable roles in educational context, some people believe that it can be useful to progress of education, some others have adverse idea, in my opinion computers have made effective developing in learning and have led to improve the interaction among teachers and students."
380," In this essay I will give my ideas

Firstly, technology has provided widely access to internet all the globe and all learners can interact with each other remotely, by the way, it is providing up-to-minute information for researchers."
381,"

Secondly, the cost of textbook is likely to decrease if they are digitalized, it is considerably worthwhile for someone who canât afford to pay income of tuition."
382,"  

In conclusion."
383," There are several evidence to confirm of reasonable advantages of Computers, we need to adopt ourselves to the new technology to make our life easier."
384,"



In some nations, traditions have shown extremely decrease in recent years, I think it happened because of technology and fast pace of life, I assert that parents and schools can be declaring that by spread enough awareness among the youth."
385," In this essay I will discuss about this topic

Firstly, because of technological device like gadgets and smartphones, adults seldom find any free time to their children and to nurture them, this is because parents have to extra work to provide enough money therefore there is not enough time to spend together

Secondly, most teenage prefer to spend their time with computer games rather than studying books or some cultural activities 

In conclusion, for keeping the tradition alive, parents and schools need more collaborate to save costume from being lost in addition parents have to allocate more time to their children









AsÂ Neural networkÂ (or other parametric machine learning) has got a lot ofÂ parameters, is there aÂ mathematicalÂ way to find the best parameter?"
386,"
or Is there aÂ computationalÂ way and how it works?"
387,"

Thanks for your answer



I saw you for the first time on linked in and saw your post that you became a grandmaster."
388, It is a great success I wish you all the best for the rest Data science journey.
389,"

Thankyou community for always responding and helping beginners like me ."
390,"

I just completed my linear and logistic alorithm , now i want to move towards decision tree or random forest ."
391, I dont have any knowledge about these both (random and decision) algorithms .
392," I wanna learn that now , what can u suggest , refer to noobs like me ?"
393," any notebook file , code , etc ."
394," it would be great if u can suggest me

I analysed and preprocessed the dataset,  and tested with famous classic machine learning."
